company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
SIGNETICS CORP.,450 N. WOLFE RD.,-122.013567,37.383525,"-122.013567, 37.383525","37.383525, -122.013567",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,897 STEWART DR.,-122.006398,37.383951,"-122.006398, 37.383951","37.383951, -122.006398",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,830 STEWART DR.,-122.010732,37.383979,"-122.010732, 37.383979","37.383979, -122.010732",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,305 N. MATHILDA AVE.,-122.031798,37.385089,"-122.031798, 37.385089","37.385089, -122.031798",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,897 DE GUIGNE DR.,-122.007161,37.385487,"-122.007161, 37.385487","37.385487, -122.007161",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,2251 LAWSON LN.,-121.963634,37.37603,"-121.963634, 37.37603","37.37603, -121.963634",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,1380 KIFER RD.,-121.977829,37.37412,"-121.977829, 37.37412","37.37412, -121.977829",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SIGNETICS CORP.,3600 PETERSON WY.,-121.98415,37.38575,"-121.98415, 37.38575","37.38575, -121.98415",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Silectro Co,"4043 Transport, Palo Alto, CA",-122.0993679,37.4255394,"-122.0993679, 37.4255394","37.4255394, -122.0993679",,Palo Alto,,,,,,,,,
Siliconix Inc,"1140 W. Evelyn Ave, Sunnyvale, CA",-122.0506337,37.38509196,"-122.050633656825, 37.3850919647963","37.3850919647963, -122.050633656825",,,,,,,1964 Sunnyvale City Directory,,,,
Siltec,"405 National Ave, Mountain View, CA",-122.0540173,37.4023661,"-122.0540173, 37.4023661","37.4023661, -122.0540173",,Mountain View,California,,,,,,,,
Siltec Corp.,405 National Ave.,-122.052194,37.40109,"-122.052194, 37.40109","37.40109, -122.052194",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Simco Electronics,"185 Commercial, Sunnyvale, CA",-122.007783,37.379032,"-122.007783, 37.379032","37.379032, -122.007783",,,,,,,1964 Sunnyvale City Directory,,,,
SINGER CO. / LINK DIV.,1077 E . ARQUES AVE.,-122.002266,37.380513,"-122.002266, 37.380513","37.380513, -122.002266",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Smith's Business Service,"715 N. 1st, San Jose, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
SNOWDEN-PENSER/PARK DAVIS CO.,1587 DELL AVE.,-121.956695,37.263754,"-121.956695, 37.263754","37.263754, -121.956695",95008,Campbell,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Software International,"4320 Stevens Creek Blvd, San Jose, CA",-121.9423322,37.3232601,"-121.9423322, 37.3232601","37.3232601, -121.9423322",,,,,,,1979 San Jose City Directory,,,,
Solectron Corp.,1286 Lawrence Stat. Rd.,-121.996054,37.367105,"-121.996054, 37.367105","37.367105, -121.996054",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SOLECTRON CORP.,4598 PATRICK HENRY DR .,-121.985015,37.397887,"-121.985015, 37.397887","37.397887, -121.985015",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SOLECTRON CORP.,2001 FORTUNE DR.,-121.893318,37.401043,"-121.893318, 37.401043","37.401043, -121.893318",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Sony Technology Center Inc,1003 Elwell Court,-122.104,37.431,"-122.104, 37.431","37.431, -122.104",94303,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Sony Technology Center Inc,1003 Elwell Court,-122.104051,37.431571,"-122.104051, 37.431571","37.431571, -122.104051",94303,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Space Technology Laboratories Inc,"355 W. Olive Ave, Sunnyvale, CA",-122.0349815,37.3716807,"-122.03498145, 37.3716807","37.3716807, -122.03498145",,,,,,,1964 Sunnyvale City Directory,,,,
Spectra Physics,1250 W. Middlefield Rd  ,-122.0803817,37.40733535,"-122.080381695478, 37.4073353462486","37.4073353462486, -122.080381695478",,,California,,,,,,,,
Spectra Physics Inc,575 E. Middlefield Rd.,-122.052164,37.394789,"-122.052164, 37.394789","37.394789, -122.052164",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Spectra Physics Inc,1250 W. Middlefield Rd.,-122.079298,37.406946,"-122.079298, 37.406946","37.406946, -122.079298",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SPERRY UNIVAC,967 MABORY RD.,-121.88084,37.362099,"-121.88084, 37.362099","37.362099, -121.88084",95133,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SPERRY UNIVAC,967 MABORY RD.,-121.88084,37.362099,"-121.88084, 37.362099","37.362099, -121.88084",95133,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Stacey J.W. Inc.,"2575 Hanover Street, Palo Alto, CA",-122.1495197,37.41864822,"-122.149519697059, 37.4186482236763","37.4186482236763, -122.149519697059",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
STANFORD APPLIED ENG.,340 MARTIN AVE.,-121.937912,37.363015,"-121.937912, 37.363015","37.363015, -121.937912",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Stanford Applied Engineering Inc,"1256 Birchwood Drive, Sunnyvale, CA",-121.9923859,37.40499956,"-121.992385872233, 37.4049995569391","37.4049995569391, -121.992385872233",,,,,,,1964 Sunnyvale City Directory,,,,
Stanford Cleaners,"2875 El Camino Real, Palo Alto, CA",-122.1408599,37.422987,"-122.140859915145, 37.422987","37.422987, -122.140859915145",,Palo Alto,California,,,,,,,,
Stanford Linear Accelerator (SLAC),"2575 Sandhill Rd, Stanford, CA",-122.215869,37.4203504,"-122.215869, 37.4203504","37.4203504, -122.215869",,Stanford,California,,,,,,,,
Stanford Nuclear Technology Lab,Stanford Avenuear near Foothill,,,", ",", ",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
STC-COMPUTER RESEARCH,3450 CENTRAL EXP.,-121.992671,37.377572,"-121.992671, 37.377572","37.377572, -121.992671",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Stewart Warner Microcircuits Inc,"355 W. Olive Ave, Sunnyvale, CA",-122.0349815,37.3716807,"-122.03498145, 37.3716807","37.3716807, -122.03498145",,,,,,,1964 Sunnyvale City Directory,,,,
Stone Associates Inc,"825 San Antonio Road, Palo Alto, CA",-122.101455,37.4232759,"-122.101455, 37.4232759","37.4232759, -122.101455",,Palo Alto,,,,,,,,,
STORM PRODUCTS,3031 CORVIN DR.,-121.987857,37.376258,"-121.987857, 37.376258","37.376258, -121.987857",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Sunnyvale Electronics,"534 S. Murphy Ave, Sunnyvale, CA",-122.0321928,37.3701351,"-122.0321928, 37.3701351","37.3701351, -122.0321928",,,,,,,1964 Sunnyvale City Directory,,,,
Sunset Fibre Industries,"1501 Terminal Ave, San Jose, CA",-121.9061115,37.36831319,"-121.90611148811, 37.3683131921177","37.3683131921177, -121.90611148811",,,,,,,1977 San Jose City Directory,,,,
Swift Instruments International,"1572 N. 4th, San Jose, CA",,,", ",", ",,,,,,,1960 San Jose City Directory,,,,
Syntex Corp.,2375 Charleston Rd.,-122.096541,37.421556,"-122.096541, 37.421556","37.421556, -122.096541",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SYSTEM DEVELOPMENT CORP .,500 MACARA AVE.,-122.04183,37.393589,"-122.04183, 37.393589","37.393589, -122.04183",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Syva,1390 Shorebird Way,-122.076944,37.418518,"-122.076944, 37.418518","37.418518, -122.076944",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Syva Co.,900 Hansen Way,-122.140259,37.418192,"-122.140259, 37.418192","37.418192, -122.140259",94306,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
SYVA CO.,20400 MARIANI AVE.,-122.029122,37.330532,"-122.029122, 37.330532","37.330532, -122.029122",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
T.R.W. SYSTEMS,11-1 5 E. ARQUES AVE.,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
T.R.W. SYSTEMS,460 OAKMEAD PARKWAY,-121.988075,37.382599,"-121.988075, 37.382599","37.382599, -121.988075",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
T.R.W./Vidar Corp.,77 Ortega Ave.,-122.102613,37.403712,"-122.102613, 37.403712","37.403712, -122.102613",94040,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
TAB Products,1451 California Ave.,-122.151616,37.418106,"-122.151616, 37.418106","37.418106, -122.151616",94306,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
TAB PRODUCTS,2390 ZANKER RD.,-121.922028,37.386359,"-121.922028, 37.386359","37.386359, -121.922028",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Tandem Computers Inc.,3301 OLCOTT ST.,-121.966952,37.380314,"-121.966952, 37.380314","37.380314, -121.966952",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Tech Ser Inc,"640 Donohoe, Palo Alto, CA",-122.1395072,37.4624938,"-122.1395072, 37.4624938","37.4624938, -122.1395072",,Palo Alto,,,,,,,,,
Technical Operations Inc,"912 DiGiulio Ave, Santa Clara, CA",,,", ",", ",,,,,,,1963 San Jose City Directory,,,,
Technicraft Engineering Corp,"809 San Antonio Road, Palo Alto, CA",-122.1022081,37.4206677,"-122.1022081, 37.4206677","37.4206677, -122.1022081",,Palo Alto,,,,,,,,,
Tektronix Inc.,3003 BUNKER HILL LN.,-121.982279,37.405716,"-121.982279, 37.405716","37.405716, -121.982279",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Tektronix Inc.,,,,", ",", ",,,Oregon,,,,,,,,
Telectra Communications Corp of America,"1265 Birchwood Drive, Sunnyvale, CA",-121.9925901,37.40523627,"-121.992590059696, 37.4052362690047","37.4052362690047, -121.992590059696",,,,,,,1966 Sunnyvale City Directory,,,,
Teledyne Industrial Electronics,"90 Pullman Way, San Jose, CA",-121.8502124,37.28988738,"-121.850212375, 37.289887375","37.289887375, -121.850212375",,,,,,,1968 San Jose City Directory,,,,
Teledyne MEC,"3176 Porter Dr, Palo Alto, CA",-122.1493621,37.4070955,"-122.149362060561, 37.4070955","37.4070955, -122.149362060561",,Palo Alto,California,,,,,,,,
Teledyne Semiconductor,1300 Terra Bella Ave,-122.080064,37.409456,"-122.080064, 37.409456","37.409456, -122.080064",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Teltec,"1509 Berger Drive, San Jose, CA",-121.8975298,37.37188416,"-121.897529786456, 37.3718841595735","37.3718841595735, -121.897529786456",,,,,,,1968 San Jose City Directory,,,,
TEXAS INSTRUMENTS,5353 BETSY ROSS DR.,-121.982001,37.408225,"-121.982001, 37.408225","37.408225, -121.982001",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Texas Instruments,"317 Town & Country, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,,,,,,
The National Press,"850 Hansen Way, Palo Alto, CA",-122.1406576,37.41860795,"-122.14065763713, 37.41860795","37.41860795, -122.14065763713",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Thermatest Laboratories Inc,"1225 Elko Drive, Sunnyvale, CA",-121.990266,37.406464,"-121.990266, 37.406464","37.406464, -121.990266",,,,,,,1964 Sunnyvale City Directory,,,,
THOMAS AND BETTS CO.,1762 TECHNOLOGY DR.,-121.919839,37.369073,"-121.919839, 37.369073","37.369073, -121.919839",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
THOR ELECTRONICS,430 TRIMBLE RD.,-121.922108,37.390039,"-121.922108, 37.390039","37.390039, -121.922108",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
TOSHIBA SEMICONDUCTOR USA INC.,1220 MIDWAS WAY,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Trans Dynamics Inc,"44 Encina Ave, Palo Alto, CA",-122.1604839,37.43907818,"-122.160483898864, 37.4390781818944","37.4390781818944, -122.160483898864",,Palo Alto,,,,,,,,,
Transition Electronic Corp,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,"-122.1362592, 37.4377862","37.4377862, -122.1362592",,Palo Alto,,,,,,,,,
Transition Electronics Sls,"991 Commercial St, Palo Alto, CA",-122.1002234,37.42496,"-122.100223411729, 37.42496","37.42496, -122.100223411729",,Palo Alto,California,,,,,,,,
Triad Corp,"816 N. 1st Street, San Jose, CA",-121.9020558,37.35166687,"-121.902055831508, 37.3516668665444","37.3516668665444, -121.902055831508",,,,,,,1966 San Jose City Directory,,,,
TRIAD SYSTEMS CORP.,5403 BETSY ROSS DR.,-121.982004,37.408885,"-121.982004, 37.408885","37.408885, -121.982004",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Trimetric Engineering Inc,"927 Industrial Ave, Palo Alto, CA",-122.0990546,37.4230955,"-122.0990546, 37.4230955","37.4230955, -122.0990546",,Palo Alto,California,,,,,,,,
TRW Systems,"355 W. Olive Ave, Sunnyvale, CA",-122.0349815,37.3716807,"-122.03498145, 37.3716807","37.3716807, -122.03498145",,,,,,,1966 Sunnyvale City Directory,,,,
TV Mart,"541 S. Murphy Ave, Sunnyvale, CA",-122.0325919,37.3699045,"-122.0325919, 37.3699045","37.3699045, -122.0325919",,,,,,,1964 Sunnyvale City Directory,,,,
TYMSHARE INC.,10101 BUBB RD.,-122.051182,37.321501,"-122.051182, 37.321501","37.321501, -122.051182",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Typology Incorporated,"1018 Lincoln Ave, San Jose, CA",-121.9031256,37.31147386,"-121.903125618477, 37.3114738646826","37.3114738646826, -121.903125618477",,,,,,,1979 San Jose City Directory,,,,
ULTRATECH CORP./PHOTOMASK,2970 CORONADO DR.,-121.972561,37.37622,"-121.972561, 37.37622","37.37622, -121.972561",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Unitec Aerotest Laboratories,"150 N. Wolfe Road, Sunnyvale, CA",-122.0133724,37.3759313,"-122.0133724, 37.3759313","37.3759313, -122.0133724",,,,,,,1966 Sunnyvale City Directory,,,,
United Aerotest Laboratories,"150 N. Wolfe Road, Sunnyvale, CA",-122.0133724,37.3759313,"-122.0133724, 37.3759313","37.3759313, -122.0133724",,,,,,,1964 Sunnyvale City Directory,,,,
United Radio and TV Supply Co,"1425 W. San Carlos Street, San Jose, CA",-121.9148111,37.3235662,"-121.914811103615, 37.3235661959694","37.3235661959694, -121.914811103615",,,,,,,1968 San Jose City Directory,,,,
United Technology Center,"1050 E. Arques Ave, Sunnyvale, CA",-122.0014888,37.37958325,"-122.001488813528, 37.37958325","37.37958325, -122.001488813528",,,,,,,1964 Sunnyvale City Directory,,,,
Univac Division of Sperry Rand Marketing Division,"515 N. 1st Road, San Jose, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
US Computers,"100 N. Winchester Blvd, San Jose, CA",-121.9503018,37.32722769,"-121.950301846154, 37.3272276923077","37.3272276923077, -121.950301846154",,,,,,,1977 San Jose City Directory,,,,
VARIAN - MICROWAVE COMP. DIV.,3200 PATRICK HENRY DR.,-121.982957,37.395904,"-121.982957, 37.395904","37.395904, -121.982957",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Varian Associates,380 Bernardo Ave,-122.050654,37.388785,"-122.050654, 37.388785","37.388785, -122.050654",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Varian Associates,220 Humboldt Ct.,-122.018385,37.408159,"-122.018385, 37.408159","37.408159, -122.018385",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Varian Associates,3101 SCOTT BLVD .,-121.961966,37.377448,"-121.961966, 37.377448","37.377448, -121.961966",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Varian Associates,3251 OLCOTT ST.,-121.967275,37.379651,"-121.967275, 37.379651","37.379651, -121.967275",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Varian Associates,"611 Hansen Way, Palo Alto, CA",-122.1383403,37.418411,"-122.138340315085, 37.418411","37.418411, -122.138340315085",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Varian Associates,"2185 Park Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,,,,,,,,,
Varian Associates (Light Sensing & Emitting Div),"601 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,,,,,,
VEECO/MACRONETICS INC.,585 N. MARY AVE.,-122.03705,37.393009,"-122.03705, 37.393009","37.393009, -122.03705",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Vega Electronics Corp,"1161 Richard Ave, Santa Clara, CA",-121.9554028,37.36485548,"-121.955402841234, 37.3648554753272","37.3648554753272, -121.955402841234",,,,,,,1963 San Jose City Directory,,,,
Velonex,"560 Robert Ave, Santa Clara, CA",-121.9451164,37.36396007,"-121.945116435297, 37.36396007478","37.36396007478, -121.945116435297",,,,,,,1963 San Jose City Directory,,,,
VERBATIM CORP.,675 PALOMAR AVE.,-122.034531,37.395045,"-122.034531, 37.395045","37.395045, -122.034531",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Vidya Inc,"2626 Hanover Street, Palo Alto, CA",-122.1487238,37.4176305,"-122.148723833846, 37.4176305","37.4176305, -122.148723833846",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
WANG LABORATORIES,3255-3D SCOTT BLVD.,-121.983478,37.346518,"-121.983478, 37.346518","37.346518, -121.983478",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Ward Davis & Associates,"3941 E. Bayshore Road, Palo Alto, CA",-122.1029232,37.4305832,"-122.1029232, 37.4305832","37.4305832, -122.1029232",,Palo Alto,California,,,,,,,,
WATKINS-JOHNSON CO.,2525 N. 1ST ST.,-121.926143,37.383645,"-121.926143, 37.383645","37.383645, -121.926143",95131,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Watkins-Johnson Co.,"3333 Hillview Avenue, Palo Alto, CA",-122.145157,37.407483,"-122.145157, 37.407483","37.407483, -122.145157",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Wavetek,875 Maude Ave,-122.048206,37.39597,"-122.048206, 37.39597","37.39597, -122.048206",94043,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
